epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
160,17681.1,0.78731,0.4875,0.88449,0.80434,0.81526,0.84678,0.6293,0.84473,0.49916,0.89208,0.0021295,0.0021295,0.0021295
161,17789,0.7813,0.48258,0.88426,0.80459,0.81586,0.8469,0.62985,0.84411,0.4988,0.89201,0.00208,0.00208,0.00208
162,17896.8,0.78028,0.48134,0.88258,0.80212,0.81944,0.84635,0.62912,0.84484,0.49958,0.892,0.0020305,0.0020305,0.0020305
163,18004.7,0.78265,0.48408,0.88335,0.80593,0.81853,0.84675,0.62996,0.84445,0.4996,0.8919,0.001981,0.001981,0.001981
164,18112.7,0.77789,0.47966,0.88115,0.80522,0.82143,0.84674,0.62974,0.84432,0.49923,0.89184,0.0019315,0.0019315,0.0019315
165,18220.5,0.78331,0.48237,0.88433,0.8026,0.82042,0.84657,0.62909,0.84337,0.49878,0.89185,0.001882,0.001882,0.001882
166,18328.4,0.77929,0.48148,0.88216,0.80526,0.81982,0.84698,0.62968,0.84356,0.49853,0.8919,0.0018325,0.0018325,0.0018325
167,18436.1,0.77381,0.47844,0.88139,0.80733,0.81629,0.8469,0.62876,0.8425,0.49822,0.89183,0.001783,0.001783,0.001783
168,18544.1,0.77863,0.47974,0.88134,0.81449,0.81787,0.84698,0.62935,0.84322,0.49884,0.89178,0.0017335,0.0017335,0.0017335
169,18651.9,0.77296,0.47842,0.8816,0.81283,0.81593,0.84703,0.63,0.84374,0.49892,0.89192,0.001684,0.001684,0.001684
170,18759.8,0.76833,0.47556,0.87963,0.80915,0.81685,0.84682,0.63067,0.8427,0.49864,0.89185,0.0016345,0.0016345,0.0016345
171,18867.5,0.76412,0.47128,0.87793,0.81844,0.81263,0.84772,0.63117,0.84281,0.4993,0.89177,0.001585,0.001585,0.001585
172,18975.5,0.76735,0.4712,0.87913,0.81909,0.81257,0.84756,0.63069,0.84271,0.49869,0.89191,0.0015355,0.0015355,0.0015355
173,19083.2,0.7673,0.47198,0.87785,0.81873,0.81278,0.84759,0.63065,0.84246,0.49785,0.89197,0.001486,0.001486,0.001486
174,19191.1,0.76728,0.47582,0.8809,0.8175,0.81425,0.8471,0.63192,0.84255,0.49802,0.89188,0.0014365,0.0014365,0.0014365
175,19299,0.76586,0.47198,0.87751,0.81779,0.814,0.8474,0.63206,0.84178,0.4979,0.8917,0.001387,0.001387,0.001387
176,19406.8,0.76167,0.46957,0.87684,0.81893,0.81378,0.84799,0.63219,0.8421,0.49733,0.89187,0.0013375,0.0013375,0.0013375
177,19514.6,0.75996,0.46863,0.87665,0.82028,0.81251,0.84778,0.63203,0.84216,0.49752,0.89177,0.001288,0.001288,0.001288
178,19622.6,0.75939,0.46728,0.87688,0.8225,0.81192,0.84787,0.63232,0.84205,0.49773,0.8915,0.0012385,0.0012385,0.0012385
179,19730.5,0.75429,0.46542,0.875,0.82179,0.81176,0.84807,0.63164,0.84197,0.49739,0.89153,0.001189,0.001189,0.001189
180,19838.5,0.75808,0.46635,0.8764,0.82147,0.81065,0.84738,0.63139,0.84137,0.49742,0.89128,0.0011395,0.0011395,0.0011395
181,19946.4,0.75459,0.46523,0.87535,0.8243,0.81164,0.8486,0.63145,0.84212,0.49661,0.89116,0.00109,0.00109,0.00109
